,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
6,"deep neural networks have been successfully applied to many areas , including speech .",[1 1 0 0 0],2,convolutional neural networks have recently been very successful on a variety of recognition and classification tasks .,[0 1 0 0 0],1,1,1,0
8,in recent years deep convolutional networks have become an integral part of state-of-the-art systems for a diverse set of computer vision problems such as object detection .,[1 1 0 0 0],2,"over the past few years , deep convolutional neural networks have been very successful in a wide range of computer vision tasks such as image classification .",[0 1 0 0 0],1,1,-1,0
10,manual delineation is a time-consuming and tedious task that is also prone to high intra-and inter-observer variability .,[1 1 0 0 0],2,"however , manual segmentation is tedious , time consuming and prone to intra-and inter-observer variability .",[0 1 0 0 0],1,1,1,0
13,"it also arises in string theory , which is the leading candidate to unify gauge and gravitational forces .",[1 1 0 0 0],2,"string theory is the only possibility at hand , and the transplanckian regime has been discussed in this context by several authors , see eg refs .",[1 0 0 0 0],1,1,-1,1
23,"in recent years , neural networks have been effectively applied in various problems such as voice recognition .",[1 1 0 0 0],2,"recently , deep convolution neural networks have been applied to solve the stereo matching problem .",[0 1 0 0 0],1,1,-1,0
37,deep convolutional neural networks have made significant breakthroughs in many visual understanding tasks including image classification .,[0 1 0 0 0],1,rapid development of deep convolutional neural networks has led to promising performance on various computer vision tasks .,[0 0 0 0 0],0,1,-1,1
43,"to reduce the dependency on weight initialization and to accelerate the training process , we add batch normalization layer after each convolution and fully-connected layer .",[0 0 0 1 0],1,"in order to boost the classification performance , we add batch normalization layer between convolutional layer and relu layer .",[0 0 0 0 0],0,1,-1,3
48,an automatic binarization method for color text in video images is proposed using convolutional network .,[1 1 1 0 0],3,an automatic binarization method for colour text area in video based on convolutional network is proposed by saidane and garcia .,[1 0 1 0 0],2,1,1,1
53,each lattice site consists of a double well potential .,[1 1 0 0 0],2,"at each lattice site , there is a three-dimensional classical spin of unit length and each spin has a total of 50 interacting neighbors .",[1 0 0 0 0],1,1,-1,1
54,"however , the computational complexity of this detection method is very high , and large number of samples are required to exploit the cyclostationarity nature of the received samples .",[1 1 0 0 0],2,"however , the computational complexity of this detection algorithm is high , and large number of samples are required to exploit the cyclostationarity behavior of the received signal .",[0 1 0 0 0],1,1,-1,0
57,"for a more detailed introduction to fractional sobolev spaces and related results , we refer the readers to .",[0 0 0 1 0],1,"for more details about the fractional laplacian operator , we refer the readers to , .",[0 0 0 0 0],0,1,-1,3
59,the set of the proteins used for the parameter refinement is called the training set .,[1 1 1 0 0],3,one is the training set and the other is the testing set .,[1 1 0 0 0],2,1,-1,2
76,"a closely related area to our subproblem of choosing coordination leaders is leader election , where a group of agents has to jointly determine a leader .",[1 1 1 0 0],3,"closely related to our problem of choosing coordination leaders is leader election , where a group of agents has to jointly determine a leader .",[1 1 0 0 0],2,1,-1,2
77,"to this end , massive mimo and small cell are regarded as two key technologies for emerging 5g wireless systems .",[1 1 0 0 0],2,massive mimo and small cell are recognized as two key technologies for 5g wireless systems due to their great potential to enhance network capacity .,[0 1 0 0 0],1,1,1,0
78,"consistently with our bayesian methodology , rather than performing model selection we can account for uncertainty over models by combining them using bayesian model averaging .",[0 0 0 1 0],1,here we follow another approach and we explicitly take into account model uncertainty by combining predictions under different association structures using bayesian model averaging .,[0 0 0 0 0],0,1,-1,3
83,the olympic sports dataset was collected from youtube sequences and contains 16 different sports categories with 50 sequences per class .,[1 0 0 0 0],1,olympic sports dataset was collected from youtube sequences and contains 16 different sports categories with 50 videos per class .,[0 0 0 0 0],0,1,-1,0
91,"this geometry is a trumpet with curvature singularity at the origin of the coordinate system , and it is dual to the semi-infinite cigar .",[1 1 0 0 0],2,"such a geometry is the obvious candidate to describe criticality,1 since it does admit an obvious action of the spatial part of the conformal group , which can be preserved at finite temperature .",[0 1 0 0 0],1,1,-1,0
93,the masslessness of the dirac fermion is protected by the quantum order and the associated psg .,[1 0 0 0 0],1,such an invariance will guarantee the existence of massless fermions .,[0 0 0 0 0],0,1,-1,0
95,deep convolutional neural networks have been successful in many computer vision tasks including image classification .,[0 1 0 0 0],1,deep neural networks have significantly improved the state of the art on many supervised tasks .,[0 0 0 0 0],0,1,-1,1
98,"moreover , residual learning is a powerful technique proposed to train very deep convolutional neural network .",[1 1 0 0 0],2,the framework of residual learning was introduced by he et al as a strategy to cope with the challenging optimization of deep models .,[1 0 0 0 0],1,1,-1,1
107,two of the most commonly used and efficient approaches are vae and generative adversarial networks .,[1 1 1 0 0],3,the two most significant types are the variational auto-encoders and generative adversarial networks .,[1 1 0 0 0],2,1,-1,2
113,"as for the existence for general pseudoeffective line bundles , now we have the following theorem .",[0 0 0 1 0],1,"by using the intersection theory on smooth divisors , we have the following corollary .",[0 0 0 0 0],0,1,-1,3
114,convolutional neural networks have proven to be effective models for tackling a variety of visual tasks .,[1 1 0 0 0],2,"deep neural networks have shown remarkable success in many domains , such as computer vision .",[0 1 0 0 0],1,1,-1,0
117,"in addition , as demonstrated in , llr clipping , when built into the tree search also allows to tune the detection algorithm in terms of performance versus complexity by adjusting the llr clipping level .",[1 1 0 0 0],2,"in addition , as demonstrated in , llr clipping also allows to tune the mimo detection algorithm in terms of complexity versus performance by adjusting the clipping parameter .",[1 0 0 0 0],1,1,-1,1
118,"sparse recovery is one of the essential issues in many fields of signal processing , including compressed sampling , which is a novel sampling theory .",[1 1 0 0 0],2,"sparse recovery is one of the essential issues in many fields of signal processing , including compressive sampling , which is a novel sampling theory .",[0 1 0 0 0],1,1,1,0
